City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
606,Garowe,SO,82.22,overcast clouds,8.41,48.48,Curubo Hotel
607,Cookeville,US,84.2,light rain,36.16,-85.5,La Quinta Inn & Suites by Wyndham Cookeville
608,North Platte,US,81.0,clear sky,41.12,-100.77,Holiday Inn Express & Suites North Platte
616,Enshi,CN,75.07,broken clouds,30.3,109.48,Moevenpick Enshi
622,Kattivakkam,IN,80.6,thunderstorm,13.22,80.32,St. Joseph Thirumana mandapam
625,Komsomolskiy,UZ,78.8,clear sky,40.43,71.72,Ikathouse
627,New Albany,US,78.8,light rain,38.29,-85.82,Hampton Inn New Albany Louisville West
630,Saint Anthony,US,81.0,broken clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
631,Aja,EG,75.2,clear sky,30.94,31.29,Apple store Aga - ابل استور باجا صيانه سوفت وير
634,Les Cayes,HT,85.44,light rain,18.2,-73.75,Villa Orphee
635,Poso,ID,75.87,broken clouds,-1.4,120.75,Hotel 77 Poso
640,Dahuk,IQ,86.83,clear sky,36.87,42.99,Parwar Hotel
643,Callaguip,PH,80.82,overcast clouds,18.07,120.49,Pangil Beach Resort
645,Bubaque,GW,81.23,moderate rain,11.28,-15.83,Casa Dora
647,Kavaratti,IN,82.15,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
649,Trincomalee,LK,81.9,overcast clouds,8.57,81.23,Welcombe Hotel
656,Kaseda,JP,78.42,overcast clouds,31.42,130.32,Sun Stay Kaseda
662,Birjand,IR,78.8,scattered clouds,32.87,59.22,Birjand Tourist Hotel
665,Geneva,US,77.0,light rain,41.89,-88.31,Best Western Inn of St. Charles
666,Fukue,JP,80.82,broken clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
667,Chilia Veche,RO,77.0,scattered clouds,45.42,29.28,Limanul Resort
668,Guanay,BO,85.23,broken clouds,-15.5,-67.88,Hotel Ritzy
670,Tual,ID,76.96,broken clouds,-5.67,132.75,Grand Vilia Hotel
672,Kontagora,NG,77.94,few clouds,10.4,5.47,City Gate Inn
674,Rock Sound,BS,84.02,light rain,24.9,-76.2,Rock Sound Club
678,San Policarpo,PH,77.92,light rain,12.18,125.51,Zal-Ann Beach Resort
679,Thoen,TH,77.0,overcast clouds,17.61,99.22,Nakornthoen Hotel
680,Bajil,YE,84.0,light rain,15.06,43.29,فندق الصقر السياحي
681,Salinopolis,BR,84.27,broken clouds,-0.61,-47.36,Hotel Salinópolis
682,Sagar,IN,83.28,light rain,23.83,78.72,Hotel Devyog
684,Esil,KZ,75.18,clear sky,51.96,66.4,Egorkino Hotel
687,Port Huron,US,80.6,broken clouds,42.97,-82.42,DoubleTree by Hilton Hotel Port Huron
689,Sussex,US,88.0,few clouds,41.18,-74.67,Top O Hill Farm - McDougals
692,Morant Bay,JM,89.6,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
699,Dinajpur,BD,85.59,light rain,25.63,88.64,Hotel Sahara
701,Ravar,IR,83.91,scattered clouds,31.27,56.81,computertik
702,Samba,IN,86.34,clear sky,32.57,75.12,"Vishal Guest House, Samba"
703,Porto Novo,BJ,80.6,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
705,Surt,LY,80.62,clear sky,31.21,16.59,City Hotel
706,Millinocket,US,80.6,broken clouds,45.66,-68.71,Katahdin Inn & Suites
708,El Carmen,CO,83.05,light rain,8.51,-73.45,La Casona
710,Saquarema,BR,75.2,few clouds,-22.92,-42.51,Hotel Fazenda Sol e Lua
711,Nangong,CN,83.88,overcast clouds,37.36,115.37,7Days Inn Xingtai South Yucai Road
715,Nueva Loja,EC,75.2,broken clouds,0.08,-76.88,Limoncocha Great Hotel
716,Nemours,FR,80.01,overcast clouds,48.28,2.69,ibis Nemours
718,Laredo,US,86.0,clear sky,27.51,-99.51,La Quinta Inn by Wyndham Laredo I-35
720,Akyab,MM,82.94,light rain,20.15,92.9,Hotel Memory
